ИНД (ТБ_ГОСБ_ТН);ИНД (ТБ_ГОСБ_ФИО);ТН 10;ТБ;ГОСБ;КМ;Эффективный КМ;2025, тыс. руб.;2024, тыс. руб. на конец месяца;Прирост, %;Прирост, тыс. руб.;ОД конец квартала, тыс. руб.
Байкальский банк_Аппарат Байкальского Банка_0370192154;Байкальский банк_Аппарат Байкальского Банка_Алексеев Владислав Михайлович;370192154;Байкальский банк;Аппарат Байкальского Банка;Алексеев Владислав Михайлович;👍;132632;N/A;N/A;N/A;N/A
Байкальский банк_Аппарат Байкальского Банка_0370192154;Байкальский банк_Аппарат Байкальского Банка_Алексеев Владислав Михайлович;370192154;Байкальский банк;Аппарат Байкальского Банка;Алексеев Владислав Михайлович;👍;208404;132632.0;57.13;75772.0;208404.0
Байкальский банк_Аппарат Байкальского Банка_0446479902;Байкальский банк_Аппарат Байкальского Банка_Федоров Сергей Максимович;446479902;Байкальский банк;Аппарат Байкальского Банка;Федоров Сергей Максимович;👍;207964;193546.0;7.45;14418.0;207964.0
Байкальский банк_Аппарат Байкальского Банка_0446479902;Байкальский банк_Аппарат Байкальского Банка_Федоров Сергей Максимович;446479902;Байкальский банк;Аппарат Байкальского Банка;Федоров Сергей Максимович;👍;193546;N/A;N/A;N/A;N/A
Байкальский банк_Аппарат Байкальского Банка_0644562478;Байкальский банк_Аппарат Байкальского Банка_Федоров Денис Дмитриевич;644562478;Байкальский банк;Аппарат Байкальского Банка;Федоров Денис Дмитриевич;👍;206794;163621.0;26.39;43173.0;206794.0
Байкальский банк_Аппарат Байкальского Банка_0644562478;Байкальский банк_Аппарат Байкальского Банка_Федоров Денис Дмитриевич;644562478;Байкальский банк;Аппарат Байкальского Банка;Федоров Денис Дмитриевич;👍;163621;N/A;N/A;N/A;N/A
Байкальский банк_Аппарат Байкальского Банка_0698752337;Байкальский банк_Аппарат Байкальского Банка_Петров Денис Иванович;698752337;Байкальский банк;Аппарат Байкальского Банка;Петров Денис Иванович;👍;205206;134790.0;52.24;70416.0;205206.0
Байкальский банк_Аппарат Байкальского Банка_0698752337;Байкальский банк_Аппарат Байкальского Банка_Петров Денис Иванович;698752337;Байкальский банк;Аппарат Байкальского Банка;Петров Денис Иванович;👍;134790;N/A;N/A;N/A;N/A
Байкальский банк_Аппарат Байкальского Банка_0877520115;Байкальский банк_Аппарат Байкальского Банка_Степанов Алексей Андреевич;877520115;Байкальский банк;Аппарат Байкальского Банка;Степанов Алексей Андреевич;👍;189417;N/A;N/A;N/A;N/A
Байкальский банк_Аппарат Байкальского Банка_1179931690;Байкальский банк_Аппарат Байкальского Банка_Петров Анастасия Алексеевна;1179931690;Байкальский банк;Аппарат Байкальского Банка;Петров Анастасия Алексеевна;👍;184761;168000.0;9.98;16761.0;184761.0
